country_name,country_code,income_tier,year,mortality_u5,nutrition_stunting,population,cbr_real,annual_births,cate_effect,cate_se,cate_ci_lower,cate_ci_upper,lives_saved_2.5pct,lives_saved_5.0pct,lives_saved_10.0pct
China,CHN,Upper middle income,2023,6.1,4.8,1410710000.0,6.39,9014436.9,0.8940714197298544,0.10824400551874926,0.6819131689131057,1.1062296705466028,20148.875993120466,40297.75198624093,80595.50397248186
Ethiopia,ETH,Low income,2023,51.5,36.8,128691692.0,31.903,4105651.0498760003,1.294281639070078,0.3958745559359108,0.5183675094356927,2.070195768704463,13284.67192570824,26569.34385141648,53138.68770283296
Pakistan,PAK,Lower middle income,2023,57.8,37.6,247504495.0,27.806,6882109.98797,0.7568510187247487,0.30292123387689296,0.16312540032603828,1.3505766371234587,13021.829888427157,26043.659776854314,52087.31955370863
India,IND,Lower middle income,2023,28.0,35.5,1438069596.0,16.146,23219071.697016,0.21114642839654982,0.2182035327397038,-0.21653249577326972,0.6388253525663692,12256.560148770865,24513.12029754173,49026.24059508346
"Congo, Dem. Rep.",COD,Low income,2023,91.3,44.7,105789731.0,41.305,4369644.838955,0.8172017021283974,0.3222147190936594,0.18566085270482502,1.4487425515519696,8927.203000226484,17854.406000452967,35708.812000905935
Nigeria,NGA,Lower middle income,2023,116.8,33.8,227882945.0,32.954,7509654.569529999,0.3820395475654516,0.1607423233747692,0.06698459375090388,0.6970945013799992,7172.462585290168,14344.925170580336,28689.850341160673
Uganda,UGA,Low income,2023,49.4,24.4,48656601.0,35.201,1712761.0118010002,1.4069519509245598,0.3907418182519033,0.6410979871508299,2.1728059146982908,6024.431117552351,12048.862235104702,24097.724470209403
Mexico,MEX,Upper middle income,2023,13.4,12.5,129739759.0,15.706,2037692.654854,0.9503462195009885,0.09972463645560417,0.7548859320480048,1.1458065069539731,4841.283777613578,9682.567555227157,19365.135110454314
Sudan,SDN,Low income,2023,63.1,38.2,50042791.0,33.612,1682038.2910920002,1.1201308405258434,0.39452145460434573,0.3468687895013264,1.8933928915503615,4710.257411993839,9420.514823987678,18841.029647975356
Tanzania,TZA,Lower middle income,2023,38.5,30.0,66617606.0,35.222,2346405.3185320003,0.7544457415416694,0.22422548061667139,0.31496379953299336,1.1939276835503452,4425.58875124298,8851.17750248596,17702.35500497192
Brazil,BRA,Upper middle income,2023,14.4,8.0,211140729.0,12.322,2601676.062738,0.6697348053837461,0.10155421800463971,0.47068853809465244,0.8687810726728401,4356.082528873462,8712.165057746925,17424.33011549385
Indonesia,IDN,Upper middle income,2023,18.4,22.0,281190067.0,15.941,4482450.858047,0.33690945184091503,0.18506664760742014,-0.025821177469628587,0.6996400811514583,3775.450153721135,7550.90030744227,15101.80061488454
Mali,MLI,Low income,2023,76.2,21.8,23769127.0,40.029,951454.384683,1.3342100284809653,0.40659407727236024,0.5372856370271395,2.1311344199347917,3173.5999542156123,6347.199908431225,12694.39981686245
Chad,TCD,Low income,2023,100.6,31.9,19319064.0,42.396,819051.0373440001,1.5293595923167358,0.2937586946465327,0.9535925508095316,2.10512663382394,3131.5589013975487,6263.117802795097,12526.235605590195
Mozambique,MOZ,Low income,2023,61.7,36.7,33635160.0,37.486,1260847.60776,0.9407786916072997,0.33299532692769335,0.28810785082902046,1.5934495323855784,2965.4464068616167,5930.892813723233,11861.785627446467
Burkina Faso,BFA,Low income,2023,77.4,21.1,23025776.0,31.643,728604.629968,1.3842555100407652,0.32298539132544507,0.7512041430428925,2.0173068770386373,2521.4374341860416,5042.874868372083,10085.749736744167
Bangladesh,BGD,Lower middle income,2023,30.6,23.6,171466990.0,20.353,3489867.6474700007,0.28015622053480643,0.20890559038810863,-0.12929873662588648,0.6896111776954994,2444.270325704729,4888.540651409458,9777.081302818917
Niger,NER,Low income,2023,113.5,47.7,26159867.0,41.892,1095889.1483640003,0.8749295609016712,0.3125944800870305,0.2622443799310914,1.487614741872251,2397.0645284375532,4794.1290568751065,9588.258113750213
Saudi Arabia,SAU,High income,2023,6.2,10.8,33702731.0,16.415,553230.329365,1.6877010844107911,0.13726347864633193,1.4186646662639806,1.9567375025576017,2334.218566995624,4668.437133991248,9336.874267982495
"Egypt, Arab Rep.",EGY,Lower middle income,2023,22.9,12.8,114535772.0,21.004,2405709.355088,0.37250777110218014,0.37829506996713613,-0.3689505660334067,1.113966108237767,2240.3635744587355,4480.727148917471,8961.454297834942
Turkiye,TUR,Upper middle income,2023,13.8,6.0,85325965.0,11.2,955650.808,0.933580448467867,0.10430591780579959,0.7291408495684998,1.1380200473672342,2230.4422747782987,4460.884549556597,8921.769099113195
"Somalia, Fed. Rep.",SOM,Low income,2023,104.3,25.3,18358615.0,42.964,788759.5348599999,1.016562197111066,0.2516557152712934,0.5233169951793308,1.509807399042801,2004.55781437396,4009.11562874792,8018.23125749584
Madagascar,MDG,Low income,2023,63.6,39.8,31195932.0,32.095,1001233.43754,0.7075094554118638,0.20001126927693136,0.31548736762907786,1.0995315431946489,1770.9553103351843,3541.9106206703686,7083.821241340737
Syrian Arab Republic,SYR,Low income,2023,20.1,27.9,23594623.0,22.107,521606.330661,1.304302162557395,0.3839544064777232,0.5517515258610568,2.0568527992537318,1700.8306627119246,3401.661325423849,6803.322650847698
